"Quantile","Year","Season","Northing.Est","Northing.SD","Easting.Est","Easting.SD","strata"
"0.5",1986,"Spring",4589.60435202101,23.6109087546954,486.571720527458,41.0025632048182,"ALL"
"0.5",1986,"Fall",4685.94790676483,62.1381679049043,593.163933642212,33.6781760013885,"ALL"
"0.5",1987,"Spring",4663.41057516281,31.8670820729248,478.674068777348,38.4328523186709,"ALL"
"0.5",1987,"Fall",4717.43280355959,43.7265582358392,469.238933642212,42.7247549497821,"ALL"
"0.5",1988,"Spring",4710.55405005631,76.5407494533563,572.142108245386,31.1545071862676,"ALL"
"0.5",1988,"Fall",4698.47413570352,59.4932822513963,576.354467622795,36.3357981006264,"ALL"
"0.5",1989,"Spring",4623.65153167277,23.0175310863164,523.966206369485,42.9106002558089,"ALL"
"0.5",1989,"Fall",4644.11970232277,22.5568930734649,516.419667587166,48.6583296424265,"ALL"
"0.5",1990,"Spring",4630.79582106445,16.6723999687168,485.847876731643,47.3494601247177,"ALL"
"0.5",1990,"Fall",4650.46353311008,12.3975778005397,609.756978754993,20.3193177262558,"ALL"
"0.5",1991,"Spring",4616.3798374579,19.5901766743,610.193800898849,10.3757199960188,"ALL"
"0.5",1991,"Fall",4654.70701137095,16.2636300141672,553.659812763092,60.2615415112272,"ALL"
"0.5",1992,"Spring",4639.13557140286,34.8647088942817,503.348024551303,51.2840894780568,"ALL"
"0.5",1992,"Fall",4670.13876602933,48.3573781042714,493.231916098352,38.5845078028034,"ALL"
"0.5",1993,"Spring",4638.86640770583,30.5467714992725,438.241636344916,37.3314996112706,"ALL"
"0.5",1993,"Fall",4684.30525762596,61.774242734916,492.449502747903,51.1724485203425,"ALL"
"0.5",1994,"Spring",4660.68218788525,31.6418912750659,501.226933642212,55.6497476554204,"ALL"
"0.5",1994,"Fall",4665.64957430001,40.2029350176796,497.012051921783,40.2303009430742,"ALL"
"0.5",1995,"Spring",4625.06586107994,29.9977095539797,559.735654953687,45.658970882012,"ALL"
"0.5",1995,"Fall",4661.2548374579,33.9876034592818,527.184951341327,58.5652121729259,"ALL"
"0.5",1996,"Spring",4655.91295711602,56.4481560950048,494.248024551303,59.8534896618758,"ALL"
"0.5",1996,"Fall",4675.18890339197,37.7998547155756,545.832411903082,50.4592162641895,"ALL"
"0.5",1997,"Spring",4623.9375297656,20.54112642683,460.308164411443,25.253739946764,"ALL"
"0.5",1997,"Fall",4680.2548374579,55.5096213702963,486.630770376907,41.4383546811724,"ALL"
"0.5",1998,"Spring",4598.66283745789,36.2658260429095,424.466206369486,28.8662327646386,"ALL"
"0.5",1998,"Fall",4650.33357761537,52.0276184582591,473.912765417914,32.4826672510526,"ALL"
"0.5",1999,"Spring",4630.2447364478,15.9777708601889,427.793032002868,14.1579857951127,"ALL"
